fold_domain,auc_full_corpus,auc_fold_local,auc_diff,f1_full_corpus,f1_fold_local,f1_diff,vocab_overlap_pct
deceptive opinion spam,0.9777,0.9763,0.0014,0.8064,0.8036,0.0028,99.32
cross cultural deception,0.6446,0.643,0.0016,0.6028,0.6037,0.0009,99.53
boulder lies and truth,0.4718,0.4716,0.0002,0.3657,0.37,0.0043,99.09
